12538,207,9242,4924,446,166
9372,9794,2753,11362,254,332
10030,7182,8699,7468,579,102
7026,3981,6217,12970,188,260
6040,3032,6549,5477,300,234
4106,1,11754,9620,241,242
5501,11115,9927,7350,596,334
10582,11180,4347,12377,197,327
8297,8644,12787,9872,441,306
6549,6217,12538,7182,190,583
12970,4924,11362,7468,276,376
11754,7350,7026,6040,117,264
4347,5501,1,9242,348,388
2753,9794,3981,9872,553,143
9927,9372,8644,10582,407,482
8699,12787,9620,207,260,352
11180,10030,5477,11115,454,379
8297,12377,3032,4106,206,194
5501,7468,6217,9794,338,377
9927,11362,7026,6549,326,250
4347,9620,2753,12970,359,388
1,7350,10582,5477,510,255
6040,12787,4106,11115,337,568
3981,207,3032,7182,130,516
10030,4924,12377,8644,365,459
11180,9242,9372,8297,256,279
12538,9872,8699,11754,365,175
11362,7026,11115,10582,292,465
12970,1,6549,12787,544,411
7468,3032,8644,4347,190,588
8297,7182,4924,5501,376,316
9927,6040,9242,9872,346,271
5477,12538,9620,9372,359,350
4106,9794,10030,207,425,494
8699,7350,11180,3981,220,137
11754,6217,2753,12377,291,352
12970,11115,8297,3032,598,171
9872,5477,7026,4924,162,250
12538,10582,5501,4106,421,367
9794,7182,7350,11180,623,141
7468,6549,207,11754,342,462
1,2753,9927,10030,337,454
3981,12787,11362,4347,316,359
6217,9620,8644,9242,210,435
9372,12377,8699,6040,287,254
7026,8297,9794,7468,227,520
9927,3032,4924,11180,396,221
5477,2753,12787,7182,276,503
11754,9242,12970,10582,322,230
3981,9620,6040,5501,258,438
11362,8644,8699,4106,470,186
11115,12377,12538,1,478,471
4347,9872,6217,207,473,188
7350,9372,6549,10030,350,362
4924,10582,6040,9794,253,522
9242,8699,12787,3032,162,396
11362,5501,11754,11180,345,324
5477,4106,9927,12970,234,293
4347,10030,8297,12538,336,369
9872,7026,7182,9620,219,404
3981,1,9372,7468,295,326
6217,12377,207,7350,286,159
2753,8644,6549,11115,425,478
12787,9794,11754,9927,405,388
11180,6040,12970,12538,227,478
3032,9620,11362,10030,299,414
8699,6217,1,4924,222,273
8297,6549,10582,3981,197,207
4347,11115,9372,7182,506,455
8644,207,7026,2753,416,321
5477,12377,5501,9242,177,350
7468,7350,4106,9872,296,327
10030,10582,12787,6217,343,271
11754,4924,11115,3981,371,453
6549,4347,8699,9794,318,455
6040,7182,1,8644,538,417
4106,9242,11180,7026,302,155
12970,9872,9372,5501,452,279
9927,7468,12377,9620,432,235
207,8297,11362,5477,204,316
2753,3032,7350,12538,253,289
